Ticker,"Sustainalytics ESG Risk Score 
 2012-01","Sustainalytics ESG Risk Score 
 2012-02","Sustainalytics ESG Risk Score 
 2012-03","Sustainalytics ESG Risk Score 
 2012-04","Sustainalytics ESG Risk Score 
 2012-05","Sustainalytics ESG Risk Score 
 2012-06","Sustainalytics ESG Risk Score 
 2012-07","Sustainalytics ESG Risk Score 
 2012-08","Sustainalytics ESG Risk Score 
 2012-09","Sustainalytics ESG Risk Score 
 2012-10","Sustainalytics ESG Risk Score 
 2012-11","Sustainalytics ESG Risk Score 
 2012-12","Sustainalytics ESG Risk Score 
 2013-01","Sustainalytics ESG Risk Score 
 2013-02","Sustainalytics ESG Risk Score 
 2013-03","Sustainalytics ESG Risk Score 
 2013-04","Sustainalytics ESG Risk Score 
 2013-05","Sustainalytics ESG Risk Score 
 2013-06","Sustainalytics ESG Risk Score 
 2013-07","Sustainalytics ESG Risk Score 
 2013-08","Sustainalytics ESG Risk Score 
 2013-09","Sustainalytics ESG Risk Score 
 2013-10","Sustainalytics ESG Risk Score 
 2013-11","Sustainalytics ESG Risk Score 
 2013-12","Sustainalytics ESG Risk Score 
 2014-01","Sustainalytics ESG Risk Score 
 2014-02","Sustainalytics ESG Risk Score 
 2014-03","Sustainalytics ESG Risk Score 
 2014-04","Sustainalytics ESG Risk Score 
 2014-05","Sustainalytics ESG Risk Score 
 2014-06","Sustainalytics ESG Risk Score 
 2014-07","Sustainalytics ESG Risk Score 
 2014-08","Sustainalytics ESG Risk Score 
 2014-09","Sustainalytics ESG Risk Score 
 2014-10","Sustainalytics ESG Risk Score 
 2014-11","Sustainalytics ESG Risk Score 
 2014-12","Sustainalytics ESG Risk Score 
 2015-01","Sustainalytics ESG Risk Score 
 2015-02","Sustainalytics ESG Risk Score 
 2015-03","Sustainalytics ESG Risk Score 
 2015-04","Sustainalytics ESG Risk Score 
 2015-05","Sustainalytics ESG Risk Score 
 2015-06","Sustainalytics ESG Risk Score 
 2015-07","Sustainalytics ESG Risk Score 
 2015-08","Sustainalytics ESG Risk Score 
 2015-09","Sustainalytics ESG Risk Score 
 2015-10","Sustainalytics ESG Risk Score 
 2015-11","Sustainalytics ESG Risk Score 
 2015-12","Sustainalytics ESG Risk Score 
 2016-01","Sustainalytics ESG Risk Score 
 2016-02","Sustainalytics ESG Risk Score 
 2016-03","Sustainalytics ESG Risk Score 
 2016-04","Sustainalytics ESG Risk Score 
 2016-05","Sustainalytics ESG Risk Score 
 2016-06","Sustainalytics ESG Risk Score 
 2016-07","Sustainalytics ESG Risk Score 
 2016-08","Sustainalytics ESG Risk Score 
 2016-09","Sustainalytics ESG Risk Score 
 2016-10","Sustainalytics ESG Risk Score 
 2016-11","Sustainalytics ESG Risk Score 
 2016-12","Sustainalytics ESG Risk Score 
 2017-01","Sustainalytics ESG Risk Score 
 2017-02","Sustainalytics ESG Risk Score 
 2017-03","Sustainalytics ESG Risk Score 
 2017-04","Sustainalytics ESG Risk Score 
 2017-05","Sustainalytics ESG Risk Score 
 2017-06","Sustainalytics ESG Risk Score 
 2017-07","Sustainalytics ESG Risk Score 
 2017-08","Sustainalytics ESG Risk Score 
 2017-09","Sustainalytics ESG Risk Score 
 2017-10","Sustainalytics ESG Risk Score 
 2017-11","Sustainalytics ESG Risk Score 
 2017-12","Sustainalytics ESG Risk Score 
 2018-01","Sustainalytics ESG Risk Score 
 2018-02","Sustainalytics ESG Risk Score 
 2018-03","Sustainalytics ESG Risk Score 
 2018-04","Sustainalytics ESG Risk Score 
 2018-05","Sustainalytics ESG Risk Score 
 2018-06","Sustainalytics ESG Risk Score 
 2018-07","Sustainalytics ESG Risk Score 
 2018-08","Sustainalytics ESG Risk Score 
 2018-09","Sustainalytics ESG Risk Score 
 2018-10","Sustainalytics ESG Risk Score 
 2018-11","Sustainalytics ESG Risk Score 
 2018-12","Sustainalytics ESG Risk Score 
 2019-01","Sustainalytics ESG Risk Score 
 2019-02","Sustainalytics ESG Risk Score 
 2019-03","Sustainalytics ESG Risk Score 
 2019-04","Sustainalytics ESG Risk Score 
 2019-05","Sustainalytics ESG Risk Score 
 2019-06"
UAVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,45,45,45,45,45,45,,,,,,,45,45,45,45,45,45,45,45,45,45,45
ASXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,,48,,,,,,48,48,48,48,48,48,48,49,49,49,49,,49,49,49,,49,49,49,49,49,49,49,49,49,50,50,50
BTG,,,,,,38,38,37,37,,,,,,,,,,,,,,,,,42,,,47,,,,,,,,46,,,,,,44,44,44,,42,,42,,42,42,42,42,45,45,45,,,,,45,45,45,45,45,45,45,45,43,,43,43,43,43,43,43,52,52,52,52,54,54,54,58,58,58,74,74,74
BHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,48,,,48,48,46,46,46,46,46,47,47,47,47,47,,47,47,47,47,47,47,47,47,45,45,45,45,45,45,45
BRBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,47,47,,,,47,,47,47,48,,48,48,47,50,50,50,50,50,50,50,50,48,48,48,48,48,48,48,48,48,48,48,48,48
LNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,53,,,53,,,54,,,,53,,,,52,52,52,,52,53,52,,52,52,52,52,53,53,53,,53,53,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,50,50,53,53,53,53,53,53,53,53,53,53,53
CQP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,54,54,53,53,53,53,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
CIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,44,44,44,44,44,46,46,46,,46,46,46,46,47,48,48,48,48,48,48,48,48,48,48,48,48
DNN,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
UUUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,,45,,44,44,44,44,44,44,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,49,49,49
EQX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,47,47
FSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,,49,,,,,,49,49,49,49,49,49,49,48,,48,48,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50
